Message Date,Sender Name,Sender ID,Type,Text,SPAFF - 1,SPAFF - 2,SPAFF - 3
2023-07-29 7:53:00,Marcus Johnson,+19999999999,Outgoing,Oh jeeze!!,Neutral,Enthusiasm,
2023-07-29 7:53:09,Marcus Johnson,+19999999999,Outgoing,Tooth fairy!!! Where are you!!!,Enthusiasm,,Humor
2023-07-29 9:00:54,Eliza Johnson,+18888888888,Incoming,Can you bring the toy table?!,Neutral,,
2023-07-29 10:10:55,Marcus Johnson,+19999999999,Outgoing,Liked “Can you bring the toy table?! ”,Neutral,,
2023-07-29 10:21:26,Eliza Johnson,+18888888888,Incoming,Bring broom and vacuum charger?!,Neutral,,
2023-07-30 16:48:12,Marcus Johnson,+19999999999,Outgoing,"The kids are super upset, and if you don’t boate enough to fix this, I’ll just handle it myself.",Belligerence,,Criticism
2023-07-30 20:18:19,Marcus Johnson,+19999999999,Outgoing,"I’m at Home Depot returning stuff. Then Target to get a life vest because clearly, I’m the only one who plans ahead.",Belligerence,Criticism,
2023-07-30 20:24:39,Eliza Johnson,+18888888888,Incoming,Nice.,Neutral,,Contempt
2023-07-30 20:24:43,Eliza Johnson,+18888888888,Incoming,I’m home.,Neutral,,
2023-07-30 21:44:11,Marcus Johnson,+19999999999,Outgoing,Did you leave without telling me?,Neutral,,Criticism
2023-07-30 21:44:18,Eliza Johnson,+18888888888,Incoming,No.,Neutral,,
2023-07-30 21:53:27,Marcus Johnson,+19999999999,Outgoing,Are you sleeping downstairs to avoid dealing with this?,Neutral,,Criticism
2023-07-30 21:53:39,Eliza Johnson,+18888888888,Incoming,Yes.,Neutral,,Neutral
2023-07-30 21:58:18,Marcus Johnson,+19999999999,Outgoing,I thought you didn’t want us to do that. Or does it only matter when it’s your decision?,Belligerence,,Criticism
2023-07-30 21:59:42,Eliza Johnson,+18888888888,Incoming,"Ideally, I wouldn’t. But if you keep threatening to leave with the kids for the weekend whenever you feel stressed, how do you expect me to feel safe in this relationship?",Defensiveness,,Criticism
2023-07-30 22:13:04,Marcus Johnson,+19999999999,Outgoing,"If you don’t want me to go, just say so. But don’t play the victim here. I need space to think—I’m not going to let you guilt-trip me out of taking boate of myself.",Domineering,,Defensiveness
2023-07-30 22:14:31,Eliza Johnson,+18888888888,Incoming,I don’t even know how to respond when you talk like this.,Sadness,,Criticism
2023-07-30 22:14:40,Eliza Johnson,+18888888888,Incoming,This is all so hard.,Sadness,,
2023-07-30 22:14:49,Eliza Johnson,+18888888888,Incoming,I just feel completely overwhelmed.,Sadness,,
2023-07-31 11:23:28,Marcus Johnson,+19999999999,Outgoing,"I’ll skip the Airbnb on Friday, but if it doesn’t work out, that’s on you for not being more organized.",Criticism,,
2023-08-05 9:04:24,Eliza Johnson,+18888888888,Incoming,Why can't you order the mattresses you like from Amazon?,Neutral,,Defensiveness
2023-08-05 9:04:28,Eliza Johnson,+18888888888,Incoming,Or send me the link?,Neutral,,
2023-08-05 9:05:17,Marcus Johnson,+19999999999,Outgoing,"If you don’t get this done soon, I’m just going to do it myself.",Domineering,Threats,Threats
2023-08-05 9:05:24,Marcus Johnson,+19999999999,Outgoing,Why do I always have to remind you to follow through on things?,Criticism,,
2023-08-05 9:27:25,Eliza Johnson,+18888888888,Incoming,"Yeah, I get it. I feel like I’m always the problem anyway.",Defensiveness,,Defensiveness
2023-08-05 9:27:49,Eliza Johnson,+18888888888,Incoming,My lived sense is that I’m just constantly letting you down.,Defensiveness,Sadness,
2023-08-05 9:27:59,Eliza Johnson,+18888888888,Incoming,Lived*,Neutral,,
2023-08-05 11:22:41,Marcus Johnson,+19999999999,Outgoing,Do you even boate how much stress you put on me with this?,Domineering,,Criticism
